game_id,school,sport,game_dt,season_type,opponent,result,team_points,opp_points,ot,rank,opponent_rank,end_inc_window,attendance
0,michigan,football,2010-09-04 19:30:00+00:00,regular,connecticut,W,30,10,,,,2010-09-05 06:30:00+00:00,0.0
1,michigan,football,2010-09-11 19:30:00+00:00,regular,notre dame,W,28,24,,,,2010-09-12 06:30:00+00:00,0.0
2,michigan,football,2010-09-18 16:00:00+00:00,regular,umass,W,42,37,,20.0,,2010-09-19 03:00:00+00:00,0.0
3,michigan,football,2010-09-25 16:00:00+00:00,regular,bowling green,W,65,21,,21.0,,2010-09-26 03:00:00+00:00,0.0
4,michigan,football,2010-10-02 19:30:00+00:00,regular,indiana,W,42,35,,19.0,,2010-10-03 06:30:00+00:00,0.0
5,michigan,football,2010-10-09 19:30:00+00:00,regular,michigan state,L,17,34,,18.0,17.0,2010-10-10 06:30:00+00:00,0.0
6,michigan,football,2010-10-16 19:30:00+00:00,regular,iowa,L,28,38,,,15.0,2010-10-17 06:30:00+00:00,0.0
7,michigan,football,2010-10-31 00:00:00+00:00,regular,penn state,L,31,41,,,,2010-10-31 11:00:00+00:00,0.0
8,michigan,football,2010-11-06 16:00:00+00:00,regular,illinois,W,67,65,OT,,,2010-11-07 03:00:00+00:00,0.0
9,michigan,football,2010-11-13 17:00:00+00:00,regular,purdue,W,27,16,,,,2010-11-14 04:00:00+00:00,0.0
10,michigan,football,2010-11-20 17:00:00+00:00,regular,wisconsin,L,28,48,,,7.0,2010-11-21 04:00:00+00:00,0.0
11,michigan,football,2010-11-27 17:00:00+00:00,regular,ohio state,L,7,37,,,8.0,2010-11-28 04:00:00+00:00,0.0
12,michigan,football,2019-08-31 23:30:00+00:00,regular,middle tennessee,W,40,21,,7.0,,2019-09-01 10:30:00+00:00,110811.0
13,michigan,football,2019-09-07 16:00:00+00:00,regular,army,W,24,21,OT,7.0,,2019-09-08 03:00:00+00:00,111747.0
14,michigan,football,2019-09-21 16:00:00+00:00,regular,wisconsin,L,14,35,,11.0,13.0,2019-09-22 03:00:00+00:00,80245.0
15,michigan,football,2019-09-28 16:00:00+00:00,regular,rutgers,W,52,0,,20.0,,2019-09-29 03:00:00+00:00,110662.0
16,michigan,football,2019-10-05 16:00:00+00:00,regular,iowa,W,10,3,,19.0,14.0,2019-10-06 03:00:00+00:00,111519.0
17,michigan,football,2019-10-12 16:00:00+00:00,regular,illinois,W,42,25,,16.0,,2019-10-13 03:00:00+00:00,37275.0
18,michigan,football,2019-10-19 23:30:00+00:00,regular,penn state,L,21,28,,16.0,7.0,2019-10-20 10:30:00+00:00,110669.0
19,michigan,football,2019-10-26 23:30:00+00:00,regular,notre dame,W,45,14,,19.0,8.0,2019-10-27 10:30:00+00:00,111909.0
20,michigan,football,2019-11-02 16:00:00+00:00,regular,maryland,W,38,7,,14.0,,2019-11-03 03:00:00+00:00,40701.0
21,michigan,football,2019-11-16 17:00:00+00:00,regular,michigan state,W,44,10,,15.0,,2019-11-17 04:00:00+00:00,111496.0
22,michigan,football,2019-11-23 20:30:00+00:00,regular,indiana,W,39,14,,13.0,,2019-11-24 07:30:00+00:00,43671.0
23,michigan,football,2019-11-30 17:00:00+00:00,regular,ohio state,L,27,56,,10.0,2.0,2019-12-01 04:00:00+00:00,112071.0
24,michigan,football,2009-09-05 19:30:00+00:00,regular,western michigan,W,31,7,,,,2009-09-06 06:30:00+00:00,0.0
25,michigan,football,2009-09-12 19:30:00+00:00,regular,notre dame,W,38,34,,,18.0,2009-09-13 06:30:00+00:00,0.0
26,michigan,football,2009-09-19 16:00:00+00:00,regular,eastern michigan,W,45,17,,25.0,,2009-09-20 03:00:00+00:00,0.0
27,michigan,football,2009-09-26 16:00:00+00:00,regular,indiana,W,36,33,,23.0,,2009-09-27 03:00:00+00:00,0.0
28,michigan,football,2009-10-03 16:00:00+00:00,regular,michigan state,L,20,26,OT,22.0,,2009-10-04 03:00:00+00:00,0.0
29,michigan,football,2009-10-11 00:05:00+00:00,regular,iowa,L,28,30,,,12.0,2009-10-11 11:05:00+00:00,0.0
30,michigan,football,2009-10-17 16:00:00+00:00,regular,delaware state,W,63,6,,,,2009-10-18 03:00:00+00:00,0.0
31,michigan,football,2009-10-24 19:30:00+00:00,regular,penn state,L,10,35,,,13.0,2009-10-25 06:30:00+00:00,0.0
32,michigan,football,2009-10-31 19:30:00+00:00,regular,illinois,L,13,38,,,,2009-11-01 06:30:00+00:00,0.0
33,michigan,football,2009-11-07 17:00:00+00:00,regular,purdue,L,36,38,,,,2009-11-08 04:00:00+00:00,0.0
34,michigan,football,2009-11-14 17:00:00+00:00,regular,wisconsin,L,24,45,,,20.0,2009-11-15 04:00:00+00:00,0.0
35,michigan,football,2009-11-21 17:00:00+00:00,regular,ohio state,L,10,21,,,10.0,2009-11-22 04:00:00+00:00,0.0
36,michigan,football,2015-09-04 00:30:00+00:00,regular,utah,L,17,24,,,,2015-09-04 11:30:00+00:00,47825.0
37,michigan,football,2015-09-12 16:00:00+00:00,regular,oregon state,W,35,7,,,,2015-09-13 03:00:00+00:00,109651.0
38,michigan,football,2015-09-19 16:00:00+00:00,regular,unlv,W,28,7,,,,2015-09-20 03:00:00+00:00,108683.0
39,michigan,football,2015-09-26 16:00:00+00:00,regular,byu,W,31,0,,,22.0,2015-09-27 03:00:00+00:00,108940.0
40,michigan,football,2015-10-03 16:00:00+00:00,regular,maryland,W,28,0,,22.0,,2015-10-04 03:00:00+00:00,51802.0
41,michigan,football,2015-10-10 19:30:00+00:00,regular,northwestern,W,38,0,,18.0,13.0,2015-10-11 06:30:00+00:00,110452.0
42,michigan,football,2015-10-17 19:30:00+00:00,regular,michigan state,L,23,27,,12.0,7.0,2015-10-18 06:30:00+00:00,111740.0
43,michigan,football,2015-10-31 23:00:00+00:00,regular,minnesota,W,29,26,,15.0,,2015-11-01 10:00:00+00:00,50709.0
44,michigan,football,2015-11-07 20:30:00+00:00,regular,rutgers,W,49,16,,17.0,,2015-11-08 07:30:00+00:00,109879.0
45,michigan,football,2015-11-14 20:30:00+00:00,regular,indiana,W,48,41,OT,14.0,,2015-11-15 07:30:00+00:00,49557.0
46,michigan,football,2015-11-21 17:00:00+00:00,regular,penn state,W,28,16,,12.0,,2015-11-22 04:00:00+00:00,107418.0
47,michigan,football,2015-11-28 17:00:00+00:00,regular,ohio state,L,13,42,,10.0,8.0,2015-11-29 04:00:00+00:00,111829.0
48,michigan,football,2016-09-03 16:00:00+00:00,regular,hawai'i,W,63,3,,7.0,,2016-09-04 03:00:00+00:00,110222.0
49,michigan,football,2016-09-10 16:00:00+00:00,regular,ucf,W,51,14,,5.0,,2016-09-11 03:00:00+00:00,109295.0
50,michigan,football,2016-09-17 19:30:00+00:00,regular,colorado,W,45,28,,4.0,,2016-09-18 06:30:00+00:00,110042.0
51,michigan,football,2016-09-24 19:30:00+00:00,regular,penn state,W,49,10,,4.0,,2016-09-25 06:30:00+00:00,110319.0
52,michigan,football,2016-10-01 19:30:00+00:00,regular,wisconsin,W,14,7,,4.0,8.0,2016-10-02 06:30:00+00:00,111846.0
53,michigan,football,2016-10-08 23:00:00+00:00,regular,rutgers,W,78,0,,4.0,,2016-10-09 10:00:00+00:00,53292.0
54,michigan,football,2016-10-22 19:30:00+00:00,regular,illinois,W,41,8,,3.0,,2016-10-23 06:30:00+00:00,111103.0
55,michigan,football,2016-10-29 16:00:00+00:00,regular,michigan state,W,32,23,,2.0,,2016-10-30 03:00:00+00:00,75802.0
56,michigan,football,2016-11-05 19:30:00+00:00,regular,maryland,W,59,3,,3.0,,2016-11-06 06:30:00+00:00,110626.0
57,michigan,football,2016-11-13 01:00:00+00:00,regular,iowa,L,13,14,,3.0,,2016-11-13 12:00:00+00:00,70585.0
58,michigan,football,2016-11-19 20:30:00+00:00,regular,indiana,W,20,10,,3.0,,2016-11-20 07:30:00+00:00,110288.0
59,michigan,football,2016-11-26 17:00:00+00:00,regular,ohio state,L,27,30,OT,3.0,2.0,2016-11-27 04:00:00+00:00,110045.0
60,michigan,football,2013-08-31 19:30:00+00:00,regular,central michigan,W,59,9,,17.0,,2013-09-01 06:30:00+00:00,112618.0
61,michigan,football,2013-09-08 00:00:00+00:00,regular,notre dame,W,41,30,,17.0,14.0,2013-09-08 11:00:00+00:00,115109.0
62,michigan,football,2013-09-14 16:00:00+00:00,regular,akron,W,28,24,,11.0,,2013-09-15 03:00:00+00:00,107120.0
63,michigan,football,2013-09-22 00:00:00+00:00,regular,connecticut,W,24,21,,15.0,,2013-09-22 11:00:00+00:00,42704.0
64,michigan,football,2013-10-05 19:30:00+00:00,regular,minnesota,W,42,13,,19.0,,2013-10-06 06:30:00+00:00,111079.0
