INCIDENT_DATE,INCIDENT_HOUR,INCIDENT_ID,NAME,AGENCY_ID,Day
2013-01-10,21.0,69056266,Drug/Narcotic Violations,9040,Thursday
2013-02-08,12.0,69057174,Theft From Building,9040,Friday
2013-03-07,20.0,69058152,Credit Card/Automated Teller Machine Fraud,9040,Thursday
2013-05-29,10.0,69059921,All Other Larceny,9040,Wednesday
2013-05-28,12.0,69060846,Theft From Building,9040,Tuesday
2013-07-19,0.0,69060820,Destruction/Damage/Vandalism of Property,9040,Friday
2013-12-16,14.0,69064459,Theft From Building,9040,Monday
2013-12-19,10.0,69064474,Theft From Building,9040,Thursday
2013-02-18,11.0,69058064,Theft From Building,9040,Monday
2013-04-12,16.0,69058995,Theft From Building,9040,Friday
2013-04-25,18.0,69059862,Theft From Building,9040,Thursday
2013-05-06,19.0,69059873,Simple Assault,9040,Monday
2013-02-01,23.0,69057136,False Pretenses/Swindle/Confidence Game,9040,Friday
2013-02-07,7.0,69057148,Shoplifting,9040,Thursday
2013-04-29,23.0,69059075,Theft of Motor Vehicle Parts or Accessories,9040,Monday
2013-07-13,2.0,69060806,Robbery,9040,Saturday
2013-08-06,21.0,69060882,Drug/Narcotic Violations,9040,Tuesday
2013-08-07,12.0,69060891,Theft From Building,9040,Wednesday
2013-11-02,22.0,69063561,All Other Larceny,9040,Saturday
2013-12-17,13.0,69064471,Theft From Motor Vehicle,9040,Tuesday
2013-12-11,9.0,69064441,Theft From Building,9040,Wednesday
2013-02-12,10.0,69057189,Theft From Building,9040,Tuesday
2013-02-21,8.0,69057197,Aggravated Assault,9040,Thursday
2013-02-21,8.0,69057197,Destruction/Damage/Vandalism of Property,9040,Thursday
2013-02-04,17.0,69057146,Destruction/Damage/Vandalism of Property,9040,Monday
2013-03-24,10.0,69058104,Destruction/Damage/Vandalism of Property,9040,Sunday
2013-08-14,8.0,69061702,Theft From Motor Vehicle,9040,Wednesday
2013-09-20,12.0,69062617,Theft From Building,9040,Friday
2013-01-19,0.0,69056301,All Other Larceny,9040,Saturday
2013-04-18,12.0,69059026,Theft From Building,9040,Thursday
2013-05-02,18.0,69059872,All Other Larceny,9040,Thursday
2013-07-22,22.0,69060834,Drug/Narcotic Violations,9040,Monday
2013-08-10,6.0,69061685,Theft From Building,9040,Saturday
2013-08-23,16.0,69061722,Theft From Building,9040,Friday
2013-05-07,10.0,69059874,Destruction/Damage/Vandalism of Property,9040,Tuesday
2013-07-26,12.0,69060853,Theft From Building,9040,Friday
2013-01-17,16.0,69056293,Theft From Building,9040,Thursday
2013-07-19,13.0,69060825,Weapon Law Violations,9040,Friday
2013-08-02,1.0,69060872,All Other Larceny,9040,Friday
2013-10-14,21.0,69062707,Destruction/Damage/Vandalism of Property,9040,Monday
2013-01-17,17.0,69056295,Theft From Building,9040,Thursday
2013-01-20,14.0,69056305,Theft From Building,9040,Sunday
2013-02-20,17.0,69057199,Theft From Building,9040,Wednesday
2013-02-28,2.0,69057227,False Pretenses/Swindle/Confidence Game,9040,Thursday
2013-02-19,9.0,69059861,Intimidation,9040,Tuesday
2013-03-29,17.0,69059066,Theft From Building,9040,Friday
2013-04-15,15.0,69059008,Theft From Building,9040,Monday
2013-04-30,5.0,69059072,Destruction/Damage/Vandalism of Property,9040,Tuesday
2013-05-06,14.0,69059870,Drug/Narcotic Violations,9040,Monday
2013-07-24,16.0,69060860,Theft From Building,9040,Wednesday
2013-08-08,15.0,69061682,All Other Larceny,9040,Thursday
2013-08-08,10.0,69060888,Shoplifting,9040,Thursday
2013-09-24,16.0,69062625,All Other Larceny,9040,Tuesday
2013-10-24,21.0,69063519,Simple Assault,9040,Thursday
2013-02-15,3.0,69057176,Simple Assault,9040,Friday
2013-04-06,23.0,69058959,Drug/Narcotic Violations,9040,Saturday
2013-06-05,0.0,69059950,Theft From Building,9040,Wednesday
2013-08-20,0.0,69061713,Theft From Building,9040,Tuesday
2013-10-20,2.0,69063517,Intimidation,9040,Sunday
2013-05-03,0.0,69059888,All Other Larceny,9040,Friday
2013-06-24,12.0,69059980,Theft From Building,9040,Monday
2013-10-04,18.0,69062678,All Other Larceny,9040,Friday
2013-10-11,15.0,69062702,Destruction/Damage/Vandalism of Property,9040,Friday
2013-01-09,21.0,69056264,Destruction/Damage/Vandalism of Property,9040,Wednesday
2013-01-21,9.0,69056313,Theft From Building,9040,Monday
