,Unnamed: 0,school,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,rank,gametime,Game String,Start time,US State,Attendance
0,0,michigan,2009-11-14,REG,Northern Michigan,,W,97,50,,1,0,W 1,Crisler Arena,15,,Northern Michigan on November 14 7:00 PM,7:00 PM,MICH.,9730
1,1,michigan,2009-11-20,REG,Houston Baptist,GWC,W,77,55,,2,0,W 2,Crisler Arena,15,,Houston Baptist on November 20 7:00 PM,7:00 PM,MICH.,10523
2,2,michigan,2009-11-26,REG,Creighton,MVC,W,83,76,OT,3,0,W 3,The Milk House,15,,Creighton on November 26 12:00 PM,12:00 PM,FLA.,2853
3,3,michigan,2009-11-27,REG,Marquette,Big East,L,65,79,,3,1,L 1,The Milk House,15,,Marquette on November 27 12:00 PM,12:00 PM,FLA.,3660
4,4,michigan,2009-11-29,REG,Alabama,SEC,L,66,68,,3,2,L 2,The Milk House,15,,Alabama on November 29 5:00 PM,5:00 PM,FLA.,2225
5,5,michigan,2009-12-02,REG,Boston College,ACC,L,58,62,,3,3,L 3,Crisler Arena,-,,Boston College on December 2 7:30 PM,7:30 PM,MICH.,10718
6,6,michigan,2009-12-05,REG,Arkansas-Pine Bluff,SWAC,W,67,53,,4,3,W 1,Crisler Arena,-,,Arkansas - Pine Bluff on December 5 2:00 PM,2:00 PM,MICH.,10073
7,7,michigan,2009-12-09,REG,Utah,MWC,L,52,68,,4,4,L 1,Jon M. Huntsman Center,-,,Utah on December 9 7:00 PM,7:00 PM,UTAH,9227
8,8,michigan,2009-12-13,REG,Detroit Mercy,Horizon,W,75,64,,5,4,W 1,Crisler Arena,-,,Detroit on December 13 12:00 PM,12:00 PM,MICH.,11163
9,9,michigan,2009-12-19,REG,Kansas (1),Big 12,L,64,75,,5,5,L 1,Allen Fieldhouse,-,,Kansas on December 19 11:00 AM,11:00 AM,KAN.,16300
10,10,michigan,2009-12-22,REG,Coppin State,MEAC,W,76,46,,6,5,W 1,Crisler Arena,-,,Coppin State on December 22 7:00 PM,7:00 PM,MICH.,10163
11,11,michigan,2009-12-31,REG,Indiana,Big Ten,L,65,71,,6,6,L 1,Assembly Hall,-,,Indiana on December 31 12:00 PM,12:00 PM,IND.,15034
12,12,michigan,2010-01-03,REG,Ohio State (15),Big Ten,W,73,64,,7,6,W 1,Crisler Arena,-,,Ohio State on January 3 4:30 PM,4:30 PM,MICH.,13751
13,13,michigan,2010-01-07,REG,Penn State,Big Ten,W,64,55,,8,6,W 2,Bryce Jordan Center,-,,Penn State on January 7 7:00 PM,7:00 PM,PA.,5799
14,14,michigan,2010-01-10,REG,Northwestern,Big Ten,L,62,68,,8,7,L 1,Crisler Arena,-,,Northwestern on January 10 2:30 PM,2:30 PM,MICH.,11851
15,15,michigan,2010-01-14,REG,Indiana,Big Ten,W,69,45,,9,7,W 1,Crisler Arena,-,,Indiana on January 14 9:00 PM,9:00 PM,MICH.,9632
16,16,michigan,2010-01-17,REG,Connecticut (15),Big East,W,68,63,,10,7,W 2,Crisler Arena,-,,Connecticut on January 17 1:30 PM,1:30 PM,MICH.,13536
17,17,michigan,2010-01-20,REG,Wisconsin (18),Big Ten,L,48,54,,10,8,L 1,Kohl Center,-,,Wisconsin on January 20 7:30 PM,7:30 PM,WIS.,17230
18,18,michigan,2010-01-23,REG,Purdue (13),Big Ten,L,59,69,,10,9,L 2,Mackey Arena,-,,Purdue on January 23 4:00 PM,4:00 PM,IND.,14123
19,19,michigan,2010-01-26,REG,Michigan State (5),Big Ten,L,56,57,,10,10,L 3,Crisler Arena,-,,Michigan State on January 26 7:00 PM,7:00 PM,MICH.,13751
20,20,michigan,2010-01-30,REG,Iowa,Big Ten,W,60,46,,11,10,W 1,Crisler Arena,-,,Iowa on January 30 4:35 PM,4:35 PM,MICH.,13541
21,21,michigan,2010-02-02,REG,Northwestern,Big Ten,L,52,67,,11,11,L 1,Welsh-Ryan Arena,-,,Northwestern on February 2 6:00 PM,6:00 PM,ILL.,5127
22,22,michigan,2010-02-06,REG,Wisconsin (16),Big Ten,L,44,62,,11,12,L 2,Crisler Arena,-,,Wisconsin on February 6 4:00 PM,4:00 PM,MICH.,13501
23,23,michigan,2010-02-11,REG,Minnesota,Big Ten,W,71,63,,12,12,W 1,Williams Arena,-,,Minnesota on February 11 6:00 PM,6:00 PM,MINN.,14625
24,24,michigan,2010-02-16,REG,Iowa,Big Ten,W,80,78,OT,13,12,W 2,Carver-Hawkeye Arena,-,,Iowa on February 16 8:05 PM,8:05 PM,IOWA,9485
25,25,michigan,2010-02-20,REG,Penn State,Big Ten,L,51,55,,13,13,L 1,Crisler Arena,-,,Penn State on February 20 6:00 PM,6:00 PM,MICH.,13751
26,26,michigan,2010-02-23,REG,Illinois,Big Ten,L,44,51,,13,14,L 2,Crisler Arena,-,,Illinois on February 23 7:00 PM,7:00 PM,MICH.,11357
27,27,michigan,2010-02-27,REG,Ohio State (9),Big Ten,L,55,66,,13,15,L 3,Value City Arena,-,,Ohio State on February 27 12:00 PM,12:00 PM,OHIO,18862
28,28,michigan,2010-03-02,REG,Minnesota,Big Ten,W,83,55,,14,15,W 1,Crisler Arena,-,,Minnesota on March 2 7:00 PM,7:00 PM,MICH.,10561
29,29,michigan,2010-03-07,REG,Michigan State (11),Big Ten,L,48,64,,14,16,L 1,Breslin Events Center,-,,Michigan State on March 7 4:00 PM,4:00 PM,MICH.,14759
30,31,michigan,2010-03-11,CTOURN,Iowa,Big Ten,W,59,52,,15,16,W 1,Conseco Fieldhouse,-,,Iowa (#9) on March 11 2:30 PM,2:30 PM,IND.,14833
31,32,michigan,2010-03-12,CTOURN,Ohio State (5),Big Ten,L,68,69,,15,17,L 1,Conseco Fieldhouse,-,,Ohio State (#1) on March 12 12:00 PM,12:00 PM,IND.,16207
