,school,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,rank,gametime,Game String,US State,start_dt
0,michigan,11/14/2009,REG,Northern Michigan,,W,97,50,,1,0,W 1,Crisler Arena,15,,Northern Michigan on November 14 7:00 PM,MICH.,2009-11-14 19:00:00
1,michigan,11/20/2009,REG,Houston Baptist,GWC,W,77,55,,2,0,W 2,Crisler Arena,15,,Houston Baptist on November 20 7:00 PM,MICH.,2009-11-20 19:00:00
2,michigan,11/26/2009,REG,Creighton,MVC,W,83,76,OT,3,0,W 3,The Milk House,15,,Creighton on November 26 12:00 PM,FLA.,2009-11-26 12:00:00
3,michigan,11/27/2009,REG,Marquette,Big East,L,65,79,,3,1,L 1,The Milk House,15,,Marquette on November 27 12:00 PM,FLA.,2009-11-27 12:00:00
4,michigan,11/29/2009,REG,Alabama,SEC,L,66,68,,3,2,L 2,The Milk House,15,,Alabama on November 29 5:00 PM,FLA.,2009-11-29 17:00:00
5,michigan,12/2/2009,REG,Boston College,ACC,L,58,62,,3,3,L 3,Crisler Arena,-,,Boston College on December 2 7:30 PM,MICH.,2009-12-02 19:30:00
6,michigan,12/5/2009,REG,Arkansas-Pine Bluff,SWAC,W,67,53,,4,3,W 1,Crisler Arena,-,,Arkansas - Pine Bluff on December 5 2:00 PM,MICH.,2009-12-05 14:00:00
7,michigan,12/9/2009,REG,Utah,MWC,L,52,68,,4,4,L 1,Jon M. Huntsman Center,-,,Utah on December 9 7:00 PM,UTAH,2009-12-09 21:00:00
8,michigan,12/13/2009,REG,Detroit Mercy,Horizon,W,75,64,,5,4,W 1,Crisler Arena,-,,Detroit on December 13 12:00 PM,MICH.,2009-12-13 12:00:00
9,michigan,12/19/2009,REG,Kansas (1),Big 12,L,64,75,,5,5,L 1,Allen Fieldhouse,-,,Kansas on December 19 11:00 AM,KAN.,2009-12-19 12:00:00
10,michigan,12/22/2009,REG,Coppin State,MEAC,W,76,46,,6,5,W 1,Crisler Arena,-,,Coppin State on December 22 7:00 PM,MICH.,2009-12-22 19:00:00
11,michigan,12/31/2009,REG,Indiana,Big Ten,L,65,71,,6,6,L 1,Assembly Hall,-,,Indiana on December 31 12:00 PM,IND.,2009-12-31 12:00:00
12,michigan,1/3/2010,REG,Ohio State (15),Big Ten,W,73,64,,7,6,W 1,Crisler Arena,-,,Ohio State on January 3 4:30 PM,MICH.,2010-01-03 16:30:00
13,michigan,1/7/2010,REG,Penn State,Big Ten,W,64,55,,8,6,W 2,Bryce Jordan Center,-,,Penn State on January 7 7:00 PM,PA.,2010-01-07 19:00:00
14,michigan,1/10/2010,REG,Northwestern,Big Ten,L,62,68,,8,7,L 1,Crisler Arena,-,,Northwestern on January 10 2:30 PM,MICH.,2010-01-10 14:30:00
15,michigan,1/14/2010,REG,Indiana,Big Ten,W,69,45,,9,7,W 1,Crisler Arena,-,,Indiana on January 14 9:00 PM,MICH.,2010-01-14 21:00:00
16,michigan,1/17/2010,REG,Connecticut (15),Big East,W,68,63,,10,7,W 2,Crisler Arena,-,,Connecticut on January 17 1:30 PM,MICH.,2010-01-17 13:30:00
17,michigan,1/20/2010,REG,Wisconsin (18),Big Ten,L,48,54,,10,8,L 1,Kohl Center,-,,Wisconsin on January 20 7:30 PM,WIS.,2010-01-20 20:30:00
18,michigan,1/23/2010,REG,Purdue (13),Big Ten,L,59,69,,10,9,L 2,Mackey Arena,-,,Purdue on January 23 4:00 PM,IND.,2010-01-23 16:00:00
19,michigan,1/26/2010,REG,Michigan State (5),Big Ten,L,56,57,,10,10,L 3,Crisler Arena,-,,Michigan State on January 26 7:00 PM,MICH.,2010-01-26 19:00:00
20,michigan,1/30/2010,REG,Iowa,Big Ten,W,60,46,,11,10,W 1,Crisler Arena,-,,Iowa on January 30 4:35 PM,MICH.,2010-01-30 16:35:00
21,michigan,2/2/2010,REG,Northwestern,Big Ten,L,52,67,,11,11,L 1,Welsh-Ryan Arena,-,,Northwestern on February 2 6:00 PM,ILL.,2010-02-02 19:00:00
22,michigan,2/6/2010,REG,Wisconsin (16),Big Ten,L,44,62,,11,12,L 2,Crisler Arena,-,,Wisconsin on February 6 4:00 PM,MICH.,2010-02-06 16:00:00
23,michigan,2/11/2010,REG,Minnesota,Big Ten,W,71,63,,12,12,W 1,Williams Arena,-,,Minnesota on February 11 6:00 PM,MINN.,2010-02-11 19:00:00
24,michigan,2/16/2010,REG,Iowa,Big Ten,W,80,78,OT,13,12,W 2,Carver-Hawkeye Arena,-,,Iowa on February 16 8:05 PM,IOWA,2010-02-16 21:05:00
25,michigan,2/20/2010,REG,Penn State,Big Ten,L,51,55,,13,13,L 1,Crisler Arena,-,,Penn State on February 20 6:00 PM,MICH.,2010-02-20 18:00:00
26,michigan,2/23/2010,REG,Illinois,Big Ten,L,44,51,,13,14,L 2,Crisler Arena,-,,Illinois on February 23 7:00 PM,MICH.,2010-02-23 19:00:00
27,michigan,2/27/2010,REG,Ohio State (9),Big Ten,L,55,66,,13,15,L 3,Value City Arena,-,,Ohio State on February 27 12:00 PM,OHIO,2010-02-27 12:00:00
28,michigan,3/2/2010,REG,Minnesota,Big Ten,W,83,55,,14,15,W 1,Crisler Arena,-,,Minnesota on March 2 7:00 PM,MICH.,2010-03-02 19:00:00
29,michigan,3/7/2010,REG,Michigan State (11),Big Ten,L,48,64,,14,16,L 1,Breslin Events Center,-,,Michigan State on March 7 4:00 PM,MICH.,2010-03-07 16:00:00
30,michigan,3/11/2010,CTOURN,Iowa,Big Ten,W,59,52,,15,16,W 1,Conseco Fieldhouse,-,,Iowa (#9) on March 11 2:30 PM,IND.,2010-03-11 14:30:00
