,school,sport,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,attendance,rank,gametime,Game String,US State,start_dt,opponent_rank,end_inc_window
0,michigan,basketball,2009-11-14,REG,Northern Michigan,,W,97,50,,1,0,W 1,Crisler Arena,0.0,15,,Northern Michigan on November 14 7:00 PM,MICH.,2009-11-14 19:00:00,,2009-11-15 05:00:00
1,michigan,basketball,2009-11-20,REG,Houston Baptist,GWC,W,77,55,,2,0,W 2,Crisler Arena,0.0,15,,Houston Baptist on November 20 7:00 PM,MICH.,2009-11-20 19:00:00,,2009-11-21 05:00:00
2,michigan,basketball,2009-11-26,REG,Creighton,MVC,W,83,76,OT,3,0,W 3,The Milk House,0.0,15,,Creighton on November 26 12:00 PM,FLA.,2009-11-26 12:00:00,,2009-11-26 22:00:00
3,michigan,basketball,2009-11-27,REG,Marquette,Big East,L,65,79,,3,1,L 1,The Milk House,0.0,15,,Marquette on November 27 12:00 PM,FLA.,2009-11-27 12:00:00,,2009-11-27 22:00:00
4,michigan,basketball,2009-11-29,REG,Alabama,SEC,L,66,68,,3,2,L 2,The Milk House,0.0,15,,Alabama on November 29 5:00 PM,FLA.,2009-11-29 17:00:00,,2009-11-30 03:00:00
5,michigan,basketball,2009-12-02,REG,Boston College,ACC,L,58,62,,3,3,L 3,Crisler Arena,0.0,-,,Boston College on December 2 7:30 PM,MICH.,2009-12-02 19:30:00,,2009-12-03 05:30:00
6,michigan,basketball,2009-12-05,REG,Arkansas-Pine Bluff,SWAC,W,67,53,,4,3,W 1,Crisler Arena,0.0,-,,Arkansas - Pine Bluff on December 5 2:00 PM,MICH.,2009-12-05 14:00:00,,2009-12-06 00:00:00
7,michigan,basketball,2009-12-09,REG,Utah,MWC,L,52,68,,4,4,L 1,Jon M. Huntsman Center,0.0,-,,Utah on December 9 7:00 PM,UTAH,2009-12-09 21:00:00,,2009-12-10 07:00:00
8,michigan,basketball,2009-12-13,REG,Detroit Mercy,Horizon,W,75,64,,5,4,W 1,Crisler Arena,0.0,-,,Detroit on December 13 12:00 PM,MICH.,2009-12-13 12:00:00,,2009-12-13 22:00:00
9,michigan,basketball,2009-12-19,REG,Kansas (1),Big 12,L,64,75,,5,5,L 1,Allen Fieldhouse,0.0,-,,Kansas on December 19 11:00 AM,KAN.,2009-12-19 12:00:00,1,2009-12-19 22:00:00
