game_id,school,sport,start_dt,season_type,opponent,result,team_points,opp_points,ot,rank,opponent_rank,end_inc_window,attendance,venue,excitement_index,incident_id,offense_id,offense_name,incident_date
148,michigan state,football,2010-10-02 15:30:00,regular,wisconsin,1,34,24,0,24.0,11.0,2010-10-03 02:30:00,0.0,Spartan Stadium,,,,,
463,michigan,basketball,2015-01-24 19:00:00,regular,wisconsin (6),0,64,69,1,-,6.0,2015-01-25 05:00:00,,,,80204026.0,86833468.0,Sexual Assault With An Object,2015-01-25 05:00:00
463,michigan,basketball,2015-01-24 19:00:00,regular,wisconsin (6),0,64,69,1,-,6.0,2015-01-25 05:00:00,,,,80204006.0,86827093.0,Theft From Building,2015-01-24 22:00:00
471,michigan,basketball,2015-02-28 12:00:00,regular,maryland (14),0,56,66,0,-,14.0,2015-02-28 22:00:00,,,,80204975.0,86826093.0,Drug/Narcotic Violations,2015-02-28 15:00:00
471,michigan,basketball,2015-02-28 12:00:00,regular,maryland (14),0,56,66,0,-,14.0,2015-02-28 22:00:00,,,,80204977.0,86827446.0,Destruction/Damage/Vandalism of Property,2015-02-28 20:00:00
496,michigan,basketball,2016-01-27 19:00:00,regular,rutgers,1,68,57,0,-,,2016-01-28 05:00:00,,,,90579013.0,99230286.0,Drug/Narcotic Violations,2016-01-28 01:00:00
496,michigan,basketball,2016-01-27 19:00:00,regular,rutgers,1,68,57,0,-,,2016-01-28 05:00:00,,,,90579015.0,99230067.0,Simple Assault,2016-01-28 03:00:00
833,michigan-state,basketball,2015-02-10 19:00:00,regular,northwestern,1,68,44,0,-,,2015-02-11 05:00:00,,,,,,,
243,michigan state,football,2018-08-31 19:00:00,regular,utah state,1,38,31,0,11.0,,2018-09-01 06:00:00,0.0,Spartan Stadium,4.1366972475,101065447.0,124645211.0,Theft From Building,2018-08-31 19:00:00
243,michigan state,football,2018-08-31 19:00:00,regular,utah state,1,38,31,0,11.0,,2018-09-01 06:00:00,0.0,Spartan Stadium,4.1366972475,101075560.0,124650665.0,Simple Assault,2018-08-31 22:00:00
243,michigan state,football,2018-08-31 19:00:00,regular,utah state,1,38,31,0,11.0,,2018-09-01 06:00:00,0.0,Spartan Stadium,4.1366972475,101065448.0,124645212.0,All Other Larceny,2018-08-31 19:00:00
243,michigan state,football,2018-08-31 19:00:00,regular,utah state,1,38,31,0,11.0,,2018-09-01 06:00:00,0.0,Spartan Stadium,4.1366972475,101570076.0,125221321.0,All Other Larceny,2018-09-01 01:00:00
243,michigan state,football,2018-08-31 19:00:00,regular,utah state,1,38,31,0,11.0,,2018-09-01 06:00:00,0.0,Spartan Stadium,4.1366972475,101065444.0,124645208.0,Theft From Motor Vehicle,2018-08-31 23:00:00
243,michigan state,football,2018-08-31 19:00:00,regular,utah state,1,38,31,0,11.0,,2018-09-01 06:00:00,0.0,Spartan Stadium,4.1366972475,101572486.0,125216759.0,All Other Larceny,2018-08-31 20:00:00
243,michigan state,football,2018-08-31 19:00:00,regular,utah state,1,38,31,0,11.0,,2018-09-01 06:00:00,0.0,Spartan Stadium,4.1366972475,101075561.0,124647209.0,Simple Assault,2018-08-31 22:00:00
243,michigan state,football,2018-08-31 19:00:00,regular,utah state,1,38,31,0,11.0,,2018-09-01 06:00:00,0.0,Spartan Stadium,4.1366972475,101075553.0,124650657.0,Destruction/Damage/Vandalism of Property,2018-08-31 23:00:00
243,michigan state,football,2018-08-31 19:00:00,regular,utah state,1,38,31,0,11.0,,2018-09-01 06:00:00,0.0,Spartan Stadium,4.1366972475,101075553.0,124647202.0,Theft From Motor Vehicle,2018-08-31 23:00:00
392,michigan,basketball,2013-02-12 21:00:00,regular,michigan state (8),0,52,75,0,4,8.0,2013-02-13 07:00:00,,,,,,,
540,michigan,basketball,2017-02-25 16:00:00,regular,purdue (14),1,82,70,0,-,14.0,2017-02-26 02:00:00,,,,,,,
623,michigan,basketball,2019-03-16 15:30:00,CTOURN,minnesota,1,76,49,0,10,,2019-03-17 01:30:00,,,,,,,
737,michigan-state,basketball,2012-11-13 20:30:00,regular,kansas (7),1,67,64,0,21,7.0,2012-11-14 06:30:00,,,,,,,
858,michigan-state,basketball,2015-12-09 19:00:00,regular,maryland-eastern shore,1,78,35,0,1,,2015-12-10 05:00:00,,,,,,,
897,michigan-state,basketball,2016-12-27 21:00:00,regular,minnesota,1,75,74,1,-,,2016-12-28 07:00:00,,,,,,,
31,michigan,football,2011-10-29 12:00:00,regular,purdue,1,36,14,0,18.0,,2011-10-29 23:00:00,0.0,Michigan Stadium,3.03588944106312,,,,
516,michigan,basketball,2016-11-23 17:00:00,regular,south carolina,0,46,61,0,25,,2016-11-24 03:00:00,,,,89208456.0,97661651.0,Embezzlement,2016-11-24 00:00:00
516,michigan,basketball,2016-11-23 17:00:00,regular,south carolina,0,46,61,0,25,,2016-11-24 03:00:00,,,,88535195.0,96893257.0,Theft From Building,2016-11-24 00:00:00
516,michigan,basketball,2016-11-23 17:00:00,regular,south carolina,0,46,61,0,25,,2016-11-24 03:00:00,,,,92589334.0,101543041.0,Drug/Narcotic Violations,2016-11-23 22:00:00
516,michigan,basketball,2016-11-23 17:00:00,regular,south carolina,0,46,61,0,25,,2016-11-24 03:00:00,,,,88535966.0,96894211.0,Drug/Narcotic Violations,2016-11-23 18:00:00
85,michigan,football,2016-09-10 12:00:00,regular,ucf,1,51,14,0,5.0,,2016-09-10 23:00:00,109295.0,Michigan Stadium,0.176153318799999,88406814.0,96753374.0,Theft From Building,2016-09-10 20:00:00
85,michigan,football,2016-09-10 12:00:00,regular,ucf,1,51,14,0,5.0,,2016-09-10 23:00:00,109295.0,Michigan Stadium,0.176153318799999,88406433.0,96752805.0,Fondling,2016-09-10 21:00:00
85,michigan,football,2016-09-10 12:00:00,regular,ucf,1,51,14,0,5.0,,2016-09-10 23:00:00,109295.0,Michigan Stadium,0.176153318799999,88406816.0,96753376.0,All Other Larceny,2016-09-10 23:00:00
137,michigan state,football,2009-10-10 12:00:00,regular,illinois,1,24,14,0,,,2009-10-10 23:00:00,0.0,Memorial Stadium,,51478826.0,55411649.0,All Other Larceny,2009-10-10 16:00:00
251,michigan state,football,2018-11-03 12:00:00,regular,maryland,1,24,3,0,,,2018-11-03 23:00:00,0.0,Maryland Stadium,3.4197558846,101774183.0,125456196.0,Theft From Building,2018-11-03 12:00:00
251,michigan state,football,2018-11-03 12:00:00,regular,maryland,1,24,3,0,,,2018-11-03 23:00:00,0.0,Maryland Stadium,3.4197558846,101779872.0,125451557.0,Drug/Narcotic Violations,2018-11-03 19:00:00
251,michigan state,football,2018-11-03 12:00:00,regular,maryland,1,24,3,0,,,2018-11-03 23:00:00,0.0,Maryland Stadium,3.4197558846,101774180.0,125456193.0,Intimidation,2018-11-03 13:00:00
451,michigan,basketball,2014-12-06 12:00:00,regular,njit,0,70,72,0,17,,2014-12-06 22:00:00,,,,74956725.0,82008546.0,Simple Assault,2014-12-06 22:00:00
580,michigan,basketball,2018-02-24 12:00:00,regular,maryland,1,85,61,0,17,,2018-02-24 22:00:00,,,,96340041.0,119232205.0,Shoplifting,2018-02-24 15:00:00
580,michigan,basketball,2018-02-24 12:00:00,regular,maryland,1,85,61,0,17,,2018-02-24 22:00:00,,,,96340057.0,119232228.0,Destruction/Damage/Vandalism of Property,2018-02-24 19:00:00
808,michigan-state,basketball,2014-03-28 21:57:00,NCAA,virginia (3),1,61,59,0,,3.0,2014-03-29 07:57:00,,,,,,,
65,michigan,football,2014-10-04 19:00:00,regular,rutgers,0,24,26,0,,,2014-10-05 06:00:00,53327.0,High Point Solutions Stadium,8.04130262189999,,,,
458,michigan,basketball,2015-01-06 19:00:00,regular,penn state,1,73,64,0,-,,2015-01-07 05:00:00,,,,,,,
879,michigan-state,basketball,2016-03-05 12:00:00,regular,ohio state,1,91,76,0,2,,2016-03-05 22:00:00,,,,,,,
883,michigan-state,basketball,2016-03-18 14:45:00,NCAA,middle tennessee,0,81,90,0,,,2016-03-19 00:45:00,,,,,,,
53,michigan,football,2013-10-12 17:00:00,regular,penn state,0,40,43,1,18.0,,2013-10-13 04:00:00,107884.0,Beaver Stadium,6.30726746883631,69062704.0,75222680.0,Drug/Narcotic Violations,2013-10-12 21:00:00
255,michigan state,football,2019-08-30 19:00:00,regular,tulsa,1,28,7,0,18.0,,2019-08-31 06:00:00,72005.0,Spartan Stadium,0.6125123066,115985123.0,140822025.0,Theft From Building,2019-08-30 19:00:00
255,michigan state,football,2019-08-30 19:00:00,regular,tulsa,1,28,7,0,18.0,,2019-08-31 06:00:00,72005.0,Spartan Stadium,0.6125123066,115979537.0,140822058.0,Theft From Motor Vehicle,2019-08-31 00:00:00
255,michigan state,football,2019-08-30 19:00:00,regular,tulsa,1,28,7,0,18.0,,2019-08-31 06:00:00,72005.0,Spartan Stadium,0.6125123066,118826156.0,144058331.0,Theft From Motor Vehicle,2019-08-30 22:00:00
255,michigan state,football,2019-08-30 19:00:00,regular,tulsa,1,28,7,0,18.0,,2019-08-31 06:00:00,72005.0,Spartan Stadium,0.6125123066,118826164.0,144061198.0,Theft From Motor Vehicle,2019-08-30 22:00:00
