game_id,school,sport,start_dt,season_type,opponent,result,team_points,opp_points,ot,rank,opponent_rank,end_inc_window,attendance,venue,excitement_index
0,michigan,football,2009-09-05 19:30:00+00:00,regular,western michigan,1,31,7,0,,,2009-09-06 06:30:00+00:00,0.0,Michigan Stadium,
1,michigan,football,2009-09-12 19:30:00+00:00,regular,notre dame,1,38,34,0,,18.0,2009-09-13 06:30:00+00:00,0.0,Michigan Stadium,
2,michigan,football,2009-09-19 16:00:00+00:00,regular,eastern michigan,1,45,17,0,25.0,,2009-09-20 03:00:00+00:00,0.0,Michigan Stadium,
3,michigan,football,2009-09-26 16:00:00+00:00,regular,indiana,1,36,33,0,23.0,,2009-09-27 03:00:00+00:00,0.0,Michigan Stadium,
4,michigan,football,2009-10-03 16:00:00+00:00,regular,michigan state,0,20,26,1,22.0,,2009-10-04 03:00:00+00:00,0.0,Spartan Stadium,
5,michigan,football,2009-10-11 00:05:00+00:00,regular,iowa,0,28,30,0,,12.0,2009-10-11 11:05:00+00:00,0.0,Kinnick Stadium,
6,michigan,football,2009-10-17 16:00:00+00:00,regular,delaware state,1,63,6,0,,,2009-10-18 03:00:00+00:00,0.0,Michigan Stadium,
7,michigan,football,2009-10-24 19:30:00+00:00,regular,penn state,0,10,35,0,,13.0,2009-10-25 06:30:00+00:00,0.0,Michigan Stadium,
8,michigan,football,2009-10-31 19:30:00+00:00,regular,illinois,0,13,38,0,,,2009-11-01 06:30:00+00:00,0.0,Memorial Stadium,
9,michigan,football,2009-11-07 17:00:00+00:00,regular,purdue,0,36,38,0,,,2009-11-08 04:00:00+00:00,0.0,Michigan Stadium,
10,michigan,football,2009-11-14 17:00:00+00:00,regular,wisconsin,0,24,45,0,,20.0,2009-11-15 04:00:00+00:00,0.0,Camp Randall Stadium,
11,michigan,football,2009-11-21 17:00:00+00:00,regular,ohio state,0,10,21,0,,10.0,2009-11-22 04:00:00+00:00,0.0,Michigan Stadium,
12,michigan,football,2010-09-04 19:30:00+00:00,regular,connecticut,1,30,10,0,,,2010-09-05 06:30:00+00:00,0.0,Michigan Stadium,
13,michigan,football,2010-09-11 19:30:00+00:00,regular,notre dame,1,28,24,0,,,2010-09-12 06:30:00+00:00,0.0,Notre Dame Stadium,
14,michigan,football,2010-09-18 16:00:00+00:00,regular,umass,1,42,37,0,20.0,,2010-09-19 03:00:00+00:00,0.0,Michigan Stadium,
15,michigan,football,2010-09-25 16:00:00+00:00,regular,bowling green,1,65,21,0,21.0,,2010-09-26 03:00:00+00:00,0.0,Michigan Stadium,
16,michigan,football,2010-10-02 19:30:00+00:00,regular,indiana,1,42,35,0,19.0,,2010-10-03 06:30:00+00:00,0.0,Memorial Stadium,
17,michigan,football,2010-10-09 19:30:00+00:00,regular,michigan state,0,17,34,0,18.0,17.0,2010-10-10 06:30:00+00:00,0.0,Michigan Stadium,
18,michigan,football,2010-10-16 19:30:00+00:00,regular,iowa,0,28,38,0,,15.0,2010-10-17 06:30:00+00:00,0.0,Michigan Stadium,
19,michigan,football,2010-10-31 00:00:00+00:00,regular,penn state,0,31,41,0,,,2010-10-31 11:00:00+00:00,0.0,Beaver Stadium,
20,michigan,football,2010-11-06 16:00:00+00:00,regular,illinois,1,67,65,1,,,2010-11-07 03:00:00+00:00,0.0,Michigan Stadium,
21,michigan,football,2010-11-13 17:00:00+00:00,regular,purdue,1,27,16,0,,,2010-11-14 04:00:00+00:00,0.0,Ross-Ade Stadium,
22,michigan,football,2010-11-20 17:00:00+00:00,regular,wisconsin,0,28,48,0,,7.0,2010-11-21 04:00:00+00:00,0.0,Michigan Stadium,
23,michigan,football,2010-11-27 17:00:00+00:00,regular,ohio state,0,7,37,0,,8.0,2010-11-28 04:00:00+00:00,0.0,Ohio Stadium,
24,michigan,football,2011-09-03 19:30:00+00:00,regular,western michigan,1,34,10,1,,,2011-09-04 06:30:00+00:00,0.0,Michigan Stadium,3.41170313976107
25,michigan,football,2011-09-11 00:00:00+00:00,regular,notre dame,1,35,31,0,,,2011-09-11 11:00:00+00:00,0.0,Michigan Stadium,6.21574285869222
26,michigan,football,2011-09-17 16:00:00+00:00,regular,eastern michigan,1,31,3,0,,,2011-09-18 03:00:00+00:00,0.0,Michigan Stadium,3.28899566344527
27,michigan,football,2011-09-24 16:00:00+00:00,regular,san diego state,1,28,7,0,22.0,,2011-09-25 03:00:00+00:00,0.0,Michigan Stadium,1.9797403847834
28,michigan,football,2011-10-01 16:00:00+00:00,regular,minnesota,1,58,0,0,19.0,,2011-10-02 03:00:00+00:00,0.0,Michigan Stadium,4.83738216735322
29,michigan,football,2011-10-08 23:00:00+00:00,regular,northwestern,1,42,24,0,12.0,,2011-10-09 10:00:00+00:00,0.0,Ryan Field,4.78640727047835
30,michigan,football,2011-10-15 16:00:00+00:00,regular,michigan state,0,14,28,0,11.0,23.0,2011-10-16 03:00:00+00:00,0.0,Spartan Stadium,4.21176523411938
31,michigan,football,2011-10-29 16:00:00+00:00,regular,purdue,1,36,14,0,18.0,,2011-10-30 03:00:00+00:00,0.0,Michigan Stadium,3.03588944106312
32,michigan,football,2011-11-05 16:00:00+00:00,regular,iowa,0,16,24,0,15.0,,2011-11-06 03:00:00+00:00,0.0,Kinnick Stadium,3.93884687933872
33,michigan,football,2011-11-12 20:30:00+00:00,regular,illinois,1,31,14,0,24.0,,2011-11-13 07:30:00+00:00,0.0,Memorial Stadium,2.19487037938032
34,michigan,football,2011-11-19 17:00:00+00:00,regular,nebraska,1,45,17,0,18.0,16.0,2011-11-20 04:00:00+00:00,0.0,Michigan Stadium,2.50823995934404
35,michigan,football,2011-11-26 17:00:00+00:00,regular,ohio state,1,40,34,0,15.0,,2011-11-27 04:00:00+00:00,0.0,Michigan Stadium,3.79981189872517
36,michigan,football,2012-09-02 00:00:00+00:00,regular,alabama,0,14,41,0,8.0,2.0,2012-09-02 11:00:00+00:00,90413.0,,1.73802458108005
37,michigan,football,2012-09-08 19:30:00+00:00,regular,air force,1,31,25,0,19.0,,2012-09-09 06:30:00+00:00,112522.0,Michigan Stadium,3.74204900633508
38,michigan,football,2012-09-15 19:30:00+00:00,regular,umass,1,63,13,0,17.0,,2012-09-16 06:30:00+00:00,110708.0,Michigan Stadium,2.02958068564611
39,michigan,football,2012-09-22 23:30:00+00:00,regular,notre dame,0,6,13,0,18.0,11.0,2012-09-23 10:30:00+00:00,80795.0,Notre Dame Stadium,4.00833036400199
40,michigan,football,2012-10-06 20:00:00+00:00,regular,purdue,1,44,13,0,,,2012-10-07 07:00:00+00:00,50105.0,Ross-Ade Stadium,3.59436376501568
41,michigan,football,2012-10-13 19:30:00+00:00,regular,illinois,1,45,0,0,25.0,,2012-10-14 06:30:00+00:00,110922.0,Michigan Stadium,1.4789754191792
42,michigan,football,2012-10-20 19:30:00+00:00,regular,michigan state,1,12,10,0,,,2012-10-21 06:30:00+00:00,113833.0,Michigan Stadium,6.59781281717875
43,michigan,football,2012-10-28 00:00:00+00:00,regular,nebraska,0,9,23,0,22.0,,2012-10-28 11:00:00+00:00,86160.0,Memorial Stadium,4.08138579360471
44,michigan,football,2012-11-03 16:00:00+00:00,regular,minnesota,1,35,13,0,,,2012-11-04 03:00:00+00:00,48801.0,TCF Bank Stadium,4.3731788144488
45,michigan,football,2012-11-10 17:00:00+00:00,regular,northwestern,1,38,31,1,,24.0,2012-11-11 04:00:00+00:00,112510.0,Michigan Stadium,6.90298316607636
46,michigan,football,2012-11-17 17:00:00+00:00,regular,iowa,1,42,17,0,21.0,,2012-11-18 04:00:00+00:00,113016.0,Michigan Stadium,1.93028987024353
47,michigan,football,2012-11-24 17:00:00+00:00,regular,ohio state,0,21,26,0,19.0,,2012-11-25 04:00:00+00:00,105899.0,Ohio Stadium,4.5623857877538
48,michigan,football,2013-08-31 19:30:00+00:00,regular,central michigan,1,59,9,0,17.0,,2013-09-01 06:30:00+00:00,112618.0,Michigan Stadium,2.7794810387715
49,michigan,football,2013-09-08 00:00:00+00:00,regular,notre dame,1,41,30,0,17.0,14.0,2013-09-08 11:00:00+00:00,115109.0,Michigan Stadium,4.72563456026111
50,michigan,football,2013-09-14 16:00:00+00:00,regular,akron,1,28,24,0,11.0,,2013-09-15 03:00:00+00:00,107120.0,Michigan Stadium,6.57237731390854
51,michigan,football,2013-09-22 00:00:00+00:00,regular,connecticut,1,24,21,0,15.0,,2013-09-22 11:00:00+00:00,42704.0,Rentschler Field,5.95668791430775
52,michigan,football,2013-10-05 19:30:00+00:00,regular,minnesota,1,42,13,0,19.0,,2013-10-06 06:30:00+00:00,111079.0,Michigan Stadium,2.2646227762359
